Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
885;JZO;IZOKORN 1,7;NIE;2190;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;149,00
886;SZAJNA;CR 1,5;NIE;2031;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;99,00
887;SZAJNA;CR 1,67;NIE;2038;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;250,00
888;SZAJNA;CR 1,6 A;NIE;2037;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;220,00
889;RAKO;CR;NIE;1981;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
890;SZAJNA;OPTIGAS 1,6;NIE;1739;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;85,00
891;JZO;IZOPLAST 160;NIE;1734;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;240,00
892;SZAJNA;CR 1,56 A;NIE;2035;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;140,00
893;SZAJNA;CR 1,6;NIE;2036;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;199,00
894;JZO;IZOKORN 16;NIE;2366;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
895;SZAJNA;CR 1,5;NIE;2369;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
896;JZO;IZOPLAST 150 TOPAZ;NIE;2186;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;129,00
897;SZAJNA;NIE DOTYCZY;NIE;1491;SZKŁO OKULAROWE;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;70,00
898;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1744;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;297,00
899;JZO;IZOPLAST 150 VTR;NIE;2185;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
900;RAKO;CR 1,67;NIE;1988;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;180,00
901;SZAJNA;OPTIPLAST 1,5;NIE;1741;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;99,00
902;JZO;IZOPLAST 150 V;NIE;2275;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
903;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1743;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;210,00
904;JZO;IZOKORN 16;NIE;2189;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;89,00
905;RAKO;CR 1,74;NIE;1991;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;350,00
906;RAKO;CR/60;NIE;1983;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;69,00
907;UNIVERCE OPTICAL;IN.1,56 HC;NIE;1730;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;59,00
908;JZO;NIE DOTYCZY;NIE;1490;SZKŁO OKULAROWE;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
909;JZO;IZOKORN 15;NIE;2365;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
910;SZAJNA;NIE DOTYCZY;NIE;1493;SZKŁO OKULAROWE;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;290,00
911;UNIVERCE OPTICAL;IN. 1,66 S.C.;NIE;1731;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;79,00
912;SZAJNA;CR 1,67 A;NIE;2039;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;280,00
913;UNIVERCE OPTICAL;IN. 1,49 HC;NIE;1729;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
914;SZAJNA;OPTIPLAST 1,56 ASF;NIE;1742;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;146,00
915;SZAJNA;OPTIGAS 1,52;NIE;1738;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
916;JZO;IZOKORN 15;NIE;2188;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;79,00
917;JZO;IZOPLAST 150 VTR;NIE;1732;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
918;SZAJNA;CR 1,5;NIE;2029;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
919;JZO;NIE DOTYCZY;NIE;1425;SZKŁO OKULAROWE;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
